 129,N      ,C2     ,CN     ,C     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 130,N      ,CN     ,N2     ,C     ,   ,  , 3.0e-10, 0.00,     0.0,NE
 131,N      ,H2CN   ,NH     ,HCN   ,   ,  , 1.0e-10, 0.00,   200.0,NE
 132,N      ,SIH    ,SIN    ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 133,N      ,HCO    ,NH     ,CO    ,   ,  , 5.7e-12, 0.50,  1000.0,NE
 134,N      ,HCO    ,HCN    ,O     ,   ,  , 1.7e-10, 0.00,     0.0,NE
 135,N      ,NO     ,N2     ,O     ,   ,  , 3.1e-11, 0.00,     0.0,NE
 136,N      ,SIH2   ,HNSI   ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 137,N      ,HNO    ,N2O    ,H     ,   ,  , 1.4e-12, 0.50,  1500.0,NE
 138,N      ,HNO    ,NH     ,NO    ,   ,  , 2.9e-12, 0.50,  1000.0,NE
 139,N      ,SIH3   ,HNSI   ,H2    ,   ,  , 5.0e-11, 0.50,     0.0,NE
 140,N      ,PH     ,PN     ,H     ,   ,  , 4.0e-11, 0.00,     0.0,NE
 141,N      ,O2     ,NO     ,O     ,   ,  , 1.5e-11, 0.00,  3570.0,NE
 142,N      ,HS     ,NH     ,S     ,   ,  , 1.7e-11, 0.50,  9060.0,NE
 143,N      ,HS     ,NS     ,H     ,   ,  , 1.7e-11, 0.50,     0.0,NE
 144,N      ,O2H    ,NH     ,O2    ,   ,  , 1.7e-13, 0.00,     0.0,NE
 145,N      ,C3H    ,C3N    ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 146,N      ,C3H2   ,HC3N   ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 147,N      ,C3H3   ,HC3N   ,H2    ,   ,  , 2.0e-11, 0.50,     0.0,NE
 148,N      ,SIC    ,SIN    ,C     ,   ,  , 2.5e-11, 0.50,     0.0,NE
 149,N      ,SIC    ,CN     ,SI    ,   ,  , 2.5e-11, 0.50,     0.0,NE
 150,N      ,CS     ,CN     ,S     ,   ,  , 3.8e-11, 0.50,  1160.0,NE
 151,N      ,CO2    ,NO     ,CO    ,   ,  , 3.2e-13, 0.00,  1700.0,NE
 152,N      ,PN     ,P      ,N2    ,   ,  , 1.0e-18, 0.00,     0.0,NE
 153,N      ,HCS    ,HCN    ,S     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 154,N      ,NS     ,N2     ,S     ,   ,  , 1.7e-11, 0.50,     0.0,NE
 155,N      ,NO2    ,N2     ,O2    ,   ,  , 1.7e-12, 0.00,     0.0,NE
 156,N      ,NO2    ,NO     ,NO    ,   ,  , 6.6e-12, 0.00,     0.0,NE
 157,N      ,NO2    ,N2O    ,O     ,   ,  , 3.0e-12, 0.00,     0.0,NE
 158,N      ,PO     ,PN     ,O     ,   ,  , 8.5e-12, 0.00,     0.0,NE
 159,N      ,PO     ,P      ,NO    ,   ,  , 2.5e-12, 0.00,     0.0,NE
 160,N      ,SO     ,NO     ,S     ,   ,  , 1.7e-11, 0.50,   750.0,NE
 161,N      ,SO     ,NS     ,O     ,   ,  , 4.7e-11, 0.50,  8254.0,NE
 162,N      ,C5H    ,C5N    ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 163,N      ,C5H2   ,HC5N   ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
 164,N      ,S2     ,S      ,NS    ,   ,  , 1.7e-11, 0.50,  4000.0,NE
 165,CH2    ,CH2    ,C2H2   ,H     ,H  ,  , 2.0e-10, 0.00,   400.0,NE
 166,CH2    ,CH2    ,CH     ,CH3   ,   ,  , 4.0e-10, 0.00,  5000.0,NE
 167,CH2    ,CH4    ,CH3    ,CH3   ,   ,  , 7.1e-12, 0.00,  5050.0,NE
 168,CH2    ,HCO    ,CH3    ,CO    ,   ,  , 3.0e-11, 0.00,     0.0,NE
 169,CH2    ,H2CO   ,CH3    ,HCO   ,   ,  , 3.3e-13, 0.00,  3270.0,NE
